Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
32 | 0.2301 | 0.4223 | 0.3128 | 0.3248 | 89% | 0.9281 | 0.3775 | 0.0325 | 0.17 | 32.2% | 0.4109 | 0.3794 | 50.8% | 70/0.0/2.5
33 | 0.2283 | 0.4268 | 0.3306 | 0.3305 | 84% | 0.9294 | 0.3825 | 0.0315 | 0.32 | 37.4% | 0.4119 | 0.3856 | 50.3% | 35/0.9/2.5
34 | 0.2272 | 0.4386 | 0.3573 | 0.3418 | 79% | 0.9278 | 0.3847 | 0.0334 | 0.58 | 43.0% | 0.4117 | 0.3890 | 50.3% | 35/0.9/4.0
35 | 0.2257 | 0.4441 | 0.3641 | 0.3360 | 79% | 0.9284 | 0.3905 | 0.0332 | 0.57 | 43.5% | 0.4161 | 0.3956 | 49.4% | 35/0.9/4.0
36 | 0.2231 | 0.4531 | 0.3507 | 0.3319 | 89% | 0.9277 | 0.3896 | 0.0338 | 0.33 | 39.3% | 0.4169 | 0.3950 | 49.4% | 35/0.9/2.5
37 | 0.2223 | 0.4510 | 0.3604 | 0.3377 | 84% | 0.9278 | 0.3951 | 0.0341 | 0.39 | 41.1% | 0.4222 | 0.4010 | 48.9% | 35/0.9/3.0
38 | 0.2213 | 0.4477 | 0.3319 | 0.3393 | 95% | 0.9280 | 0.4004 | 0.0343 | 0.20 | 33.6% | 0.4287 | 0.4062 | 47.7% | 70/0.0/2.5
39 | 0.2196 | 0.4553 | 0.3413 | 0.3400 | 95% | 0.9278 | 0.4013 | 0.0346 | 0.17 | 34.1% | 0.4274 | 0.4078 | 48.0% | 70/0.0/2.5
40 | 0.2177 | 0.4508 | 0.3358 | 0.3547 | 95% | 0.9278 | 0.4029 | 0.0347 | 0.31 | 36.0% | 0.4247 | 0.4105 | 48.1% | 0/0.95/3.0
41 | 0.2163 | 0.4616 | 0.3491 | 0.3521 | 95% | 0.9292 | 0.4000 | 0.0330 | 0.16 | 36.9% | 0.4224 | 0.4059 | 48.6% | 0/0.95/2.5
42 | 0.2152 | 0.4581 | 0.3569 | 0.3419 | 89% | 0.9281 | 0.4014 | 0.0343 | 0.29 | 38.3% | 0.4267 | 0.4060 | 48.2% | 35/0.95/3.0
43 | 0.2159 | 0.4690 | 0.3703 | 0.3513 | 89% | 0.9278 | 0.3991 | 0.0345 | 0.33 | 39.7% | 0.4240 | 0.4038 | 48.7% | 0/0.95/3.0
44 | 0.2125 | 0.4635 | 0.3635 | 0.3406 | 89% | 0.9275 | 0.3994 | 0.0348 | 0.34 | 39.7% | 0.4246 | 0.4035 | 48.4% | 0/0.95/3.0
45 | 0.2122 | 0.4600 | 0.3592 | 0.3425 | 89% | 0.9272 | 0.4052 | 0.0355 | 0.32 | 39.3% | 0.4277 | 0.4103 | 47.9% | 35/0.9/2.5
46 | 0.2107 | 0.4566 | 0.3551 | 0.3421 | 89% | 0.9274 | 0.4019 | 0.0350 | 0.22 | 38.3% | 0.4279 | 0.4061 | 48.0% | 0/0.95/2.5
47 | 0.2096 | 0.4636 | 0.3637 | 0.3360 | 89% | 0.9268 | 0.4051 | 0.0360 | 0.22 | 39.7% | 0.4313 | 0.4093 | 47.6% | 0/0.95/2.5
48 | 0.2067 | 0.4630 | 0.3629 | 0.3367 | 89% | 0.9273 | 0.4076 | 0.0355 | 0.23 | 39.7% | 0.4327 | 0.4110 | 47.5% | 0/0.95/2.5
49 | 0.2076 | 0.4649 | 0.3653 | 0.3528 | 89% | 0.9264 | 0.4080 | 0.0366 | 0.22 | 39.3% | 0.4320 | 0.4124 | 47.4% | 0/0.95/2.5
50 | 0.2057 | 0.4632 | 0.3755 | 0.3525 | 84% | 0.9257 | 0.4085 | 0.0373 | 0.40 | 41.6% | 0.4338 | 0.4125 | 47.4% | 0/0.95/3.0
51 | 0.2056 | 0.4724 | 0.3745 | 0.3297 | 89% | 0.9259 | 0.4076 | 0.0371 | 0.39 | 42.5% | 0.4357 | 0.4113 | 47.3% | 0/0.95/3.0
52 | 0.2051 | 0.4789 | 0.3826 | 0.3327 | 89% | 0.9274 | 0.4049 | 0.0353 | 0.37 | 43.0% | 0.4304 | 0.4090 | 47.9% | 0/0.95/3.0
53 | 0.2053 | 0.4667 | 0.3798 | 0.3425 | 84% | 0.9272 | 0.4037 | 0.0354 | 0.34 | 43.0% | 0.4281 | 0.4084 | 48.0% | 35/0.95/3.0
54 | 0.2046 | 0.4760 | 0.3789 | 0.3416 | 89% | 0.9267 | 0.4040 | 0.0360 | 0.31 | 42.5% | 0.4306 | 0.4088 | 47.9% | 35/0.95/3.0
55 | 0.2029 | 0.4739 | 0.3764 | 0.3521 | 89% | 0.9270 | 0.4028 | 0.0356 | 0.31 | 42.1% | 0.4276 | 0.4080 | 48.1% | 35/0.95/3.0
56 | 0.2023 | 0.4723 | 0.3744 | 0.3419 | 89% | 0.9277 | 0.4022 | 0.0348 | 0.34 | 42.1% | 0.4274 | 0.4070 | 48.1% | 35/0.95/3.0
57 | 0.2021 | 0.4792 | 0.3830 | 0.3526 | 89% | 0.9286 | 0.3999 | 0.0336 | 0.36 | 43.5% | 0.4266 | 0.4045 | 48.4% | 0/0.95/3.0
58 | 0.2023 | 0.4671 | 0.3802 | 0.3428 | 84% | 0.9289 | 0.4001 | 0.0333 | 0.36 | 42.1% | 0.4247 | 0.4049 | 48.4% | 0/0.95/3.0
59 | 0.2018 | 0.4629 | 0.3506 | 0.3428 | 95% | 0.9289 | 0.3996 | 0.0333 | 0.19 | 39.3% | 0.4241 | 0.4047 | 48.4% | 35/0.95/2.5
60 | 0.2008 | 0.4669 | 0.3800 | 0.3315 | 84% | 0.9279 | 0.4013 | 0.0345 | 0.38 | 42.5% | 0.4269 | 0.4066 | 48.2% | 0/0.95/3.0
