Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
32 | 0.2196 | 0.4563 | 0.3669 | 0.3228 | 84% | 0.9258 | 0.4142 | 0.0377 | 0.37 | 38.3% | 0.4463 | 0.4185 | 46.2% | 0/0.99/3.0
33 | 0.2136 | 0.4589 | 0.3701 | 0.3350 | 84% | 0.9259 | 0.4153 | 0.0376 | 0.38 | 39.3% | 0.4487 | 0.4171 | 46.2% | 0/0.99/3.0
34 | 0.2149 | 0.4601 | 0.3715 | 0.3297 | 84% | 0.9257 | 0.4153 | 0.0379 | 0.34 | 39.3% | 0.4502 | 0.4164 | 45.9% | 0/0.99/3.0
35 | 0.2120 | 0.4552 | 0.3656 | 0.3327 | 84% | 0.9259 | 0.4139 | 0.0375 | 0.32 | 38.3% | 0.4477 | 0.4170 | 46.0% | 0/0.99/3.0
36 | 0.2111 | 0.4600 | 0.3959 | 0.3274 | 74% | 0.9258 | 0.4155 | 0.0378 | 0.65 | 49.5% | 0.4469 | 0.4185 | 46.0% | 0/0.95/3.0
37 | 0.2103 | 0.4668 | 0.3798 | 0.3281 | 84% | 0.9272 | 0.4176 | 0.0364 | 0.48 | 43.5% | 0.4544 | 0.4198 | 45.4% | 0/0.99/4.0
38 | 0.2072 | 0.4659 | 0.3665 | 0.3297 | 89% | 0.9279 | 0.4182 | 0.0356 | 0.40 | 44.4% | 0.4474 | 0.4199 | 46.0% | 35/0.97/3.0
39 | 0.2057 | 0.4686 | 0.3576 | 0.3312 | 95% | 0.9281 | 0.4172 | 0.0354 | 0.27 | 41.6% | 0.4495 | 0.4193 | 45.7% | 35/0.97/2.5
40 | 0.2034 | 0.4638 | 0.3396 | 0.3397 | 100% | 0.9269 | 0.4167 | 0.0366 | 0.13 | 34.1% | 0.4507 | 0.4189 | 46.0% | 0/0.995/2.5
41 | 0.2016 | 0.4747 | 0.3774 | 0.3250 | 89% | 0.9267 | 0.4216 | 0.0373 | 0.35 | 40.7% | 0.4591 | 0.4222 | 45.1% | 0/0.99/3.0
42 | 0.1995 | 0.4768 | 0.3799 | 0.3334 | 89% | 0.9254 | 0.4224 | 0.0387 | 0.37 | 42.5% | 0.4619 | 0.4234 | 44.7% | 0/0.99/3.0
43 | 0.1996 | 0.4668 | 0.3798 | 0.3319 | 84% | 0.9251 | 0.4239 | 0.0391 | 0.36 | 43.0% | 0.4570 | 0.4263 | 45.0% | 0/0.99/3.0
44 | 0.1990 | 0.4603 | 0.3597 | 0.3208 | 89% | 0.9247 | 0.4201 | 0.0392 | 0.23 | 38.3% | 0.4539 | 0.4228 | 45.5% | 0/0.995/3.0
45 | 0.1960 | 0.4544 | 0.3767 | 0.3188 | 79% | 0.9265 | 0.4171 | 0.0371 | 0.36 | 42.1% | 0.4507 | 0.4198 | 45.6% | 0/0.99/3.0
46 | 0.1965 | 0.4572 | 0.3436 | 0.3196 | 95% | 0.9256 | 0.4184 | 0.0382 | 0.15 | 35.5% | 0.4529 | 0.4200 | 45.5% | 35/0.995/2.5
