Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
32 | 0.1824 | 0.6041 | 0.5489 | 0.3879 | 84% | 0.9180 | 0.6176 | 0.0605 | 0.50 | 69.2% | 0.6287 | 0.6470 | 21.3% | 35/0.995/2.0
33 | 0.1786 | 0.5742 | 0.5243 | 0.3797 | 79% | 0.9182 | 0.6142 | 0.0601 | 0.58 | 66.8% | 0.6279 | 0.6397 | 22.0% | 35/0.995/2.0
34 | 0.1785 | 0.5721 | 0.5217 | 0.3656 | 79% | 0.9170 | 0.6216 | 0.0619 | 0.55 | 67.3% | 0.6357 | 0.6482 | 20.8% | 35/0.995/2.0
35 | 0.1762 | 0.5694 | 0.4940 | 0.3859 | 89% | 0.9172 | 0.6234 | 0.0618 | 0.41 | 62.1% | 0.6385 | 0.6480 | 20.8% | 0/0.998/2.0
36 | 0.1745 | 0.5747 | 0.5249 | 0.3780 | 79% | 0.9189 | 0.6223 | 0.0599 | 0.54 | 68.7% | 0.6358 | 0.6490 | 21.0% | 35/0.995/2.0
37 | 0.1733 | 0.5818 | 0.5336 | 0.4096 | 79% | 0.9222 | 0.6147 | 0.0559 | 0.44 | 62.1% | 0.6264 | 0.6415 | 22.0% | 35/0.995/1.8
38 | 0.1729 | 0.5783 | 0.5416 | 0.4137 | 74% | 0.9239 | 0.6142 | 0.0539 | 0.76 | 72.4% | 0.6242 | 0.6415 | 22.3% | 0/0.99/2.0
39 | 0.1715 | 0.5640 | 0.5239 | 0.4153 | 74% | 0.9239 | 0.6188 | 0.0543 | 0.49 | 65.9% | 0.6338 | 0.6406 | 21.7% | 35/0.995/2.0
40 | 0.1694 | 0.5711 | 0.5083 | 0.4174 | 84% | 0.9239 | 0.6277 | 0.0550 | 0.47 | 65.0% | 0.6448 | 0.6490 | 20.7% | 0/0.998/2.0
41 | 0.1665 | 0.5916 | 0.5336 | 0.4319 | 84% | 0.9266 | 0.6231 | 0.0517 | 0.52 | 69.2% | 0.6382 | 0.6448 | 21.4% | 35/0.998/2.5
42 | 0.1661 | 0.5829 | 0.5228 | 0.4165 | 84% | 0.9236 | 0.6318 | 0.0556 | 0.59 | 70.6% | 0.6478 | 0.6523 | 20.5% | 35/0.998/2.5
