Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
32 | 0.1603 | 0.6151 | 0.5503 | 0.4417 | 89% | 0.9307 | 0.6009 | 0.0457 | 0.44 | 63.1% | 0.6207 | 0.6241 | 24.0% | 0/0.999/2.0
33 | 0.1585 | 0.6041 | 0.5612 | 0.4385 | 79% | 0.9314 | 0.6074 | 0.0455 | 0.47 | 66.4% | 0.6282 | 0.6292 | 23.4% | 35/0.999/2.5
34 | 0.1568 | 0.6249 | 0.5746 | 0.4492 | 84% | 0.9306 | 0.6086 | 0.0464 | 0.57 | 69.6% | 0.6273 | 0.6308 | 23.5% | 0/0.999/2.5
35 | 0.1556 | 0.6201 | 0.5687 | 0.4380 | 84% | 0.9297 | 0.6129 | 0.0477 | 0.44 | 68.2% | 0.6357 | 0.6330 | 22.6% | 35/0.999/2.5
36 | 0.1540 | 0.6120 | 0.5830 | 0.4429 | 74% | 0.9301 | 0.6158 | 0.0474 | 0.41 | 66.8% | 0.6381 | 0.6359 | 22.6% | 35/0.999/2.5
37 | 0.1545 | 0.6316 | 0.5828 | 0.4426 | 84% | 0.9316 | 0.6150 | 0.0457 | 0.47 | 67.8% | 0.6384 | 0.6351 | 22.4% | 0/0.9993/2.5
38 | 0.1522 | 0.6151 | 0.5625 | 0.4543 | 84% | 0.9318 | 0.6196 | 0.0459 | 0.44 | 64.0% | 0.6409 | 0.6399 | 22.4% | 0/0.999/2.0
39 | 0.1510 | 0.6252 | 0.5871 | 0.4633 | 79% | 0.9334 | 0.6180 | 0.0441 | 0.50 | 69.6% | 0.6392 | 0.6384 | 22.3% | 0/0.999/2.5
40 | 0.1507 | 0.6206 | 0.5815 | 0.4558 | 79% | 0.9315 | 0.6194 | 0.0462 | 0.51 | 70.6% | 0.6406 | 0.6408 | 22.2% | 0/0.999/2.5
41 | 0.1470 | 0.6313 | 0.5825 | 0.4467 | 84% | 0.9317 | 0.6217 | 0.0461 | 0.48 | 70.6% | 0.6432 | 0.6436 | 22.0% | 0/0.999/2.5
42 | 0.1478 | 0.6366 | 0.5890 | 0.4596 | 84% | 0.9326 | 0.6176 | 0.0449 | 0.42 | 68.7% | 0.6384 | 0.6392 | 22.5% | 0/0.999/2.5
43 | 0.1462 | 0.6272 | 0.5896 | 0.4474 | 79% | 0.9323 | 0.6176 | 0.0453 | 0.36 | 68.2% | 0.6385 | 0.6392 | 22.4% | 35/0.999/2.5
44 | 0.1441 | 0.6190 | 0.5795 | 0.4572 | 79% | 0.9325 | 0.6188 | 0.0450 | 0.35 | 67.8% | 0.6380 | 0.6410 | 22.2% | 35/0.999/2.5
45 | 0.1432 | 0.6135 | 0.5849 | 0.4608 | 74% | 0.9333 | 0.6173 | 0.0442 | 0.37 | 66.8% | 0.6356 | 0.6392 | 22.4% | 0/0.9993/2.5
46 | 0.1435 | 0.6089 | 0.5915 | 0.4687 | 68% | 0.9352 | 0.6180 | 0.0422 | 0.34 | 66.8% | 0.6364 | 0.6401 | 22.1% | 35/0.9993/2.5
47 | 0.1418 | 0.6315 | 0.5827 | 0.4603 | 84% | 0.9346 | 0.6173 | 0.0427 | 0.38 | 68.7% | 0.6343 | 0.6391 | 22.3% | 0/0.9993/2.5
48 | 0.1414 | 0.6482 | 0.5910 | 0.4620 | 89% | 0.9347 | 0.6206 | 0.0429 | 0.40 | 69.6% | 0.6394 | 0.6415 | 21.9% | 0/0.9993/2.5
49 | 0.1398 | 0.6459 | 0.5882 | 0.4617 | 89% | 0.9345 | 0.6202 | 0.0430 | 0.39 | 68.2% | 0.6400 | 0.6394 | 22.1% | 0/0.9993/2.5
50 | 0.1394 | 0.6483 | 0.5912 | 0.4679 | 89% | 0.9342 | 0.6184 | 0.0433 | 0.37 | 68.7% | 0.6390 | 0.6385 | 22.2% | 0/0.9993/2.5
51 | 0.1387 | 0.6368 | 0.5892 | 0.4630 | 84% | 0.9336 | 0.6175 | 0.0438 | 0.35 | 67.8% | 0.6407 | 0.6367 | 22.2% | 0/0.9993/2.5
52 | 0.1385 | 0.6362 | 0.5763 | 0.4625 | 89% | 0.9340 | 0.6134 | 0.0430 | 0.34 | 65.9% | 0.6321 | 0.6345 | 23.2% | 0/0.9993/2.5
53 | 0.1377 | 0.6283 | 0.5909 | 0.4660 | 79% | 0.9344 | 0.6117 | 0.0425 | 0.41 | 69.2% | 0.6340 | 0.6319 | 23.0% | 0/0.999/2.5
54 | 0.1371 | 0.6274 | 0.5899 | 0.4671 | 79% | 0.9347 | 0.6108 | 0.0422 | 0.42 | 69.2% | 0.6314 | 0.6307 | 23.4% | 0/0.999/2.5
55 | 0.1370 | 0.6333 | 0.5849 | 0.4624 | 84% | 0.9344 | 0.6110 | 0.0425 | 0.37 | 65.9% | 0.6306 | 0.6324 | 23.2% | 0/0.9993/2.5
56 | 0.1366 | 0.6314 | 0.5826 | 0.4627 | 84% | 0.9347 | 0.6103 | 0.0421 | 0.38 | 65.4% | 0.6297 | 0.6318 | 23.3% | 0/0.9993/2.5
57 | 0.1356 | 0.6317 | 0.5829 | 0.4623 | 84% | 0.9340 | 0.6121 | 0.0430 | 0.38 | 65.9% | 0.6314 | 0.6346 | 23.0% | 0/0.9993/2.5
58 | 0.1350 | 0.6326 | 0.5840 | 0.4622 | 84% | 0.9346 | 0.6127 | 0.0424 | 0.37 | 65.4% | 0.6338 | 0.6341 | 22.8% | 0/0.9993/2.5
59 | 0.1361 | 0.6333 | 0.5849 | 0.4624 | 84% | 0.9348 | 0.6120 | 0.0422 | 0.34 | 65.9% | 0.6314 | 0.6329 | 23.0% | 0/0.9993/2.5
60 | 0.1344 | 0.6329 | 0.5844 | 0.4618 | 84% | 0.9347 | 0.6122 | 0.0422 | 0.35 | 65.9% | 0.6330 | 0.6326 | 22.9% | 0/0.9993/2.5
