Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
32 | 0.2272 | 0.4390 | 0.3699 | 0.3555 | 74% | 0.9213 | 0.4211 | 0.0430 | 0.60 | 43.9% | 0.4134 | 0.4591 | 45.6% | 35/0.0/3.0
33 | 0.2227 | 0.4394 | 0.4070 | 0.3595 | 58% | 0.9227 | 0.4211 | 0.0415 | 1.14 | 55.6% | 0.4158 | 0.4568 | 45.6% | 15/0.999/4.0
34 | 0.2215 | 0.4458 | 0.3662 | 0.3387 | 79% | 0.9216 | 0.4190 | 0.0425 | 0.40 | 42.1% | 0.4175 | 0.4558 | 45.4% | 35/0.0/2.5
35 | 0.2219 | 0.4441 | 0.3885 | 0.3204 | 68% | 0.9206 | 0.4195 | 0.0436 | 0.72 | 47.2% | 0.4172 | 0.4564 | 45.4% | 15/0.9997/3.0
36 | 0.2196 | 0.4449 | 0.3894 | 0.3066 | 68% | 0.9184 | 0.4188 | 0.0459 | 0.86 | 50.5% | 0.4196 | 0.4566 | 45.1% | 35/0.0/4.0
37 | 0.2178 | 0.4419 | 0.3858 | 0.3126 | 68% | 0.9196 | 0.4201 | 0.0447 | 0.84 | 50.0% | 0.4191 | 0.4567 | 45.1% | 35/0.0/4.0
38 | 0.2159 | 0.4391 | 0.3823 | 0.3351 | 68% | 0.9222 | 0.4196 | 0.0419 | 0.51 | 46.3% | 0.4201 | 0.4565 | 45.3% | 35/0.0/3.0
39 | 0.2157 | 0.4344 | 0.4131 | 0.3477 | 53% | 0.9230 | 0.4174 | 0.0409 | 1.10 | 54.7% | 0.4175 | 0.4536 | 45.5% | 15/0.999/4.0
40 | 0.2131 | 0.4187 | 0.3816 | 0.3488 | 58% | 0.9212 | 0.4229 | 0.0432 | 0.55 | 44.9% | 0.4223 | 0.4597 | 45.0% | 35/0.0/3.0
41 | 0.2119 | 0.4264 | 0.3545 | 0.3394 | 74% | 0.9188 | 0.4256 | 0.0459 | 0.38 | 38.8% | 0.4197 | 0.4647 | 44.9% | 70/0.0/3.0
42 | 0.2096 | 0.4256 | 0.3900 | 0.3419 | 58% | 0.9198 | 0.4264 | 0.0449 | 0.62 | 45.8% | 0.4217 | 0.4643 | 44.7% | 35/0.0/3.0
43 | 0.2074 | 0.4304 | 0.3960 | 0.3337 | 58% | 0.9214 | 0.4206 | 0.0429 | 0.86 | 50.9% | 0.4200 | 0.4576 | 45.3% | 35/0.0/4.0
44 | 0.2052 | 0.4315 | 0.3485 | 0.3201 | 79% | 0.9202 | 0.4185 | 0.0439 | 0.29 | 36.9% | 0.4165 | 0.4558 | 45.5% | 70/0.0/2.5
45 | 0.2059 | 0.4342 | 0.3396 | 0.3303 | 84% | 0.9207 | 0.4143 | 0.0431 | 0.30 | 35.5% | 0.4121 | 0.4525 | 46.2% | 70/0.0/2.5
46 | 0.2041 | 0.4256 | 0.3412 | 0.3103 | 79% | 0.9206 | 0.4162 | 0.0434 | 0.29 | 36.0% | 0.4134 | 0.4558 | 46.0% | 70/0.0/2.5
47 | 0.2027 | 0.4253 | 0.3409 | 0.3238 | 79% | 0.9211 | 0.4171 | 0.0429 | 0.25 | 35.5% | 0.4140 | 0.4549 | 46.1% | 70/0.0/2.5
48 | 0.2020 | 0.4180 | 0.3685 | 0.3281 | 63% | 0.9220 | 0.4153 | 0.0418 | 0.40 | 42.1% | 0.4169 | 0.4517 | 45.9% | 35/0.0/2.5
49 | 0.2007 | 0.4248 | 0.3769 | 0.3391 | 63% | 0.9223 | 0.4175 | 0.0417 | 0.42 | 42.1% | 0.4137 | 0.4546 | 46.0% | 35/0.0/2.5
50 | 0.1985 | 0.4378 | 0.3807 | 0.3315 | 68% | 0.9223 | 0.4202 | 0.0418 | 0.40 | 42.1% | 0.4164 | 0.4572 | 45.7% | 35/0.0/2.5
51 | 0.1994 | 0.4347 | 0.3525 | 0.3200 | 79% | 0.9214 | 0.4262 | 0.0432 | 0.20 | 36.9% | 0.4217 | 0.4637 | 45.1% | 70/0.0/2.5
52 | 0.1984 | 0.4338 | 0.3513 | 0.3204 | 79% | 0.9218 | 0.4240 | 0.0427 | 0.22 | 36.4% | 0.4194 | 0.4603 | 45.5% | 70/0.0/2.5
53 | 0.1978 | 0.4408 | 0.3844 | 0.3198 | 68% | 0.9215 | 0.4236 | 0.0429 | 0.38 | 42.5% | 0.4199 | 0.4595 | 45.5% | 35/0.0/2.5
54 | 0.1979 | 0.4420 | 0.3859 | 0.3189 | 68% | 0.9213 | 0.4257 | 0.0433 | 0.37 | 43.5% | 0.4204 | 0.4621 | 45.3% | 35/0.0/2.5
55 | 0.1961 | 0.4347 | 0.3769 | 0.3375 | 68% | 0.9217 | 0.4235 | 0.0427 | 0.38 | 42.1% | 0.4187 | 0.4599 | 45.7% | 35/0.0/2.5
56 | 0.1959 | 0.4470 | 0.3799 | 0.3276 | 74% | 0.9218 | 0.4227 | 0.0425 | 0.34 | 42.5% | 0.4190 | 0.4584 | 45.5% | 35/0.0/2.5
57 | 0.1956 | 0.4466 | 0.3794 | 0.3300 | 74% | 0.9227 | 0.4217 | 0.0415 | 0.36 | 42.5% | 0.4198 | 0.4574 | 45.4% | 35/0.0/2.5
58 | 0.1952 | 0.4461 | 0.3788 | 0.3304 | 74% | 0.9233 | 0.4208 | 0.0408 | 0.34 | 42.5% | 0.4173 | 0.4563 | 45.8% | 35/0.0/2.5
59 | 0.1943 | 0.4457 | 0.3783 | 0.3311 | 74% | 0.9233 | 0.4217 | 0.0408 | 0.36 | 43.5% | 0.4185 | 0.4573 | 45.5% | 35/0.0/2.5
60 | 0.1951 | 0.4438 | 0.3759 | 0.3303 | 74% | 0.9227 | 0.4235 | 0.0416 | 0.38 | 43.0% | 0.4204 | 0.4587 | 45.4% | 35/0.0/2.5
