Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
32 | 0.1745 | 0.5742 | 0.5487 | 0.4182 | 68% | 0.9312 | 0.5707 | 0.0430 | 0.61 | 68.7% | 0.5886 | 0.5937 | 27.7% | 0/0.995/3.0
33 | 0.1696 | 0.5544 | 0.5366 | 0.4134 | 63% | 0.9299 | 0.5695 | 0.0443 | 0.47 | 66.4% | 0.5868 | 0.5938 | 28.0% | 35/0.995/3.0
34 | 0.1709 | 0.5652 | 0.5621 | 0.4134 | 58% | 0.9286 | 0.5777 | 0.0463 | 0.78 | 73.8% | 0.5975 | 0.6000 | 26.8% | 0/0.99/3.0
35 | 0.1680 | 0.5593 | 0.5425 | 0.4057 | 63% | 0.9288 | 0.5811 | 0.0463 | 0.37 | 64.0% | 0.5999 | 0.6049 | 26.4% | 35/0.995/2.5
36 | 0.1654 | 0.5473 | 0.5399 | 0.4211 | 58% | 0.9299 | 0.5834 | 0.0453 | 0.64 | 71.0% | 0.6034 | 0.6085 | 25.9% | 0/0.99/2.5
37 | 0.1663 | 0.5646 | 0.5491 | 0.4193 | 63% | 0.9293 | 0.5838 | 0.0461 | 0.58 | 70.6% | 0.6052 | 0.6095 | 25.7% | 0/0.995/3.0
38 | 0.1641 | 0.5764 | 0.5392 | 0.4112 | 74% | 0.9299 | 0.5837 | 0.0453 | 0.36 | 64.0% | 0.6021 | 0.6077 | 26.2% | 35/0.995/2.5
39 | 0.1647 | 0.5821 | 0.5463 | 0.4124 | 74% | 0.9298 | 0.5830 | 0.0455 | 0.39 | 63.1% | 0.6024 | 0.6078 | 26.1% | 35/0.995/2.5
40 | 0.1620 | 0.5777 | 0.5287 | 0.4250 | 79% | 0.9302 | 0.5810 | 0.0449 | 0.31 | 60.3% | 0.6020 | 0.6046 | 26.3% | 35/0.998/2.5
41 | 0.1610 | 0.5838 | 0.5118 | 0.4266 | 89% | 0.9298 | 0.5844 | 0.0455 | 0.24 | 58.4% | 0.6044 | 0.6089 | 25.7% | 0/0.998/2.0
42 | 0.1593 | 0.5743 | 0.5244 | 0.4279 | 79% | 0.9299 | 0.5864 | 0.0455 | 0.36 | 61.2% | 0.6045 | 0.6103 | 25.9% | 15/0.998/2.5
43 | 0.1605 | 0.5726 | 0.5102 | 0.4139 | 84% | 0.9294 | 0.5861 | 0.0461 | 0.31 | 59.3% | 0.6030 | 0.6114 | 25.8% | 35/0.998/2.5
44 | 0.1569 | 0.5709 | 0.5080 | 0.4071 | 84% | 0.9284 | 0.5888 | 0.0474 | 0.33 | 59.8% | 0.6064 | 0.6120 | 25.5% | 35/0.998/2.5
45 | 0.1551 | 0.5677 | 0.4919 | 0.4075 | 89% | 0.9298 | 0.5878 | 0.0458 | 0.21 | 56.5% | 0.6054 | 0.6109 | 25.7% | 35/0.998/2.0
46 | 0.1542 | 0.5649 | 0.5128 | 0.4134 | 79% | 0.9303 | 0.5917 | 0.0455 | 0.32 | 61.7% | 0.6111 | 0.6152 | 25.0% | 35/0.998/2.5
47 | 0.1534 | 0.5414 | 0.4839 | 0.4066 | 79% | 0.9276 | 0.5938 | 0.0485 | 0.22 | 58.4% | 0.6126 | 0.6169 | 24.9% | 35/0.998/2.0
48 | 0.1530 | 0.5575 | 0.5281 | 0.4069 | 68% | 0.9278 | 0.5963 | 0.0485 | 0.45 | 65.4% | 0.6169 | 0.6194 | 24.4% | 35/0.995/2.5
49 | 0.1504 | 0.5579 | 0.5286 | 0.4084 | 68% | 0.9283 | 0.5938 | 0.0478 | 0.43 | 64.5% | 0.6120 | 0.6170 | 24.8% | 35/0.995/2.5
50 | 0.1512 | 0.5635 | 0.5477 | 0.4077 | 63% | 0.9272 | 0.5964 | 0.0492 | 0.42 | 65.0% | 0.6194 | 0.6174 | 24.2% | 35/0.995/2.5
51 | 0.1504 | 0.5645 | 0.5246 | 0.4106 | 74% | 0.9289 | 0.5921 | 0.0471 | 0.33 | 61.7% | 0.6145 | 0.6129 | 24.8% | 35/0.998/2.5
52 | 0.1505 | 0.5642 | 0.5364 | 0.4109 | 68% | 0.9288 | 0.5895 | 0.0469 | 0.41 | 63.6% | 0.6125 | 0.6106 | 25.1% | 35/0.995/2.5
53 | 0.1490 | 0.5626 | 0.5344 | 0.4089 | 68% | 0.9279 | 0.5906 | 0.0480 | 0.42 | 63.6% | 0.6115 | 0.6123 | 25.0% | 35/0.995/2.5
54 | 0.1496 | 0.5641 | 0.5362 | 0.4072 | 68% | 0.9288 | 0.5904 | 0.0470 | 0.38 | 64.0% | 0.6123 | 0.6120 | 25.0% | 35/0.995/2.5
55 | 0.1488 | 0.5542 | 0.5363 | 0.4091 | 63% | 0.9292 | 0.5904 | 0.0466 | 0.38 | 64.5% | 0.6102 | 0.6114 | 25.3% | 35/0.995/2.5
56 | 0.1496 | 0.5552 | 0.5375 | 0.4085 | 63% | 0.9288 | 0.5891 | 0.0469 | 0.39 | 64.5% | 0.6095 | 0.6097 | 25.5% | 35/0.995/2.5
57 | 0.1484 | 0.5552 | 0.5375 | 0.4114 | 63% | 0.9301 | 0.5878 | 0.0455 | 0.39 | 64.5% | 0.6074 | 0.6085 | 25.6% | 35/0.995/2.5
58 | 0.1471 | 0.5669 | 0.5397 | 0.4106 | 68% | 0.9297 | 0.5888 | 0.0459 | 0.37 | 64.5% | 0.6082 | 0.6099 | 25.5% | 35/0.995/2.5
59 | 0.1478 | 0.5649 | 0.5373 | 0.4097 | 68% | 0.9293 | 0.5885 | 0.0463 | 0.37 | 64.5% | 0.6086 | 0.6097 | 25.6% | 35/0.995/2.5
60 | 0.1475 | 0.5647 | 0.5370 | 0.4096 | 68% | 0.9294 | 0.5889 | 0.0462 | 0.37 | 64.0% | 0.6097 | 0.6099 | 25.2% | 35/0.995/2.5
