Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
32 | 0.0813 | 0.3152 | 0.1688 | 0.2540 | 95% | 0.9350 | 0.1539 | 0.0092 | 0.18 | 16.4% | 0.1825 | 0.1474 | 79.6% | 35/0.9997/0.0
33 | 0.0802 | 0.3186 | 0.1729 | 0.2516 | 95% | 0.9348 | 0.1470 | 0.0089 | 0.27 | 16.8% | 0.1798 | 0.1402 | 80.3% | 35/0.998/0.0
34 | 0.0781 | 0.3158 | 0.1694 | 0.2515 | 95% | 0.9340 | 0.1367 | 0.0091 | 0.29 | 17.8% | 0.1679 | 0.1302 | 81.6% | 0/0.9993/0.0
35 | 0.0762 | 0.3143 | 0.1555 | 0.2568 | 100% | 0.9348 | 0.1314 | 0.0078 | 0.23 | 15.0% | 0.1621 | 0.1258 | 82.7% | 0/0.9997/0.0
36 | 0.0756 | 0.3095 | 0.1495 | 0.2680 | 100% | 0.9353 | 0.1342 | 0.0074 | 0.06 | 13.6% | 0.1637 | 0.1278 | 82.1% | 0/0.9997/4.0
37 | 0.0740 | 0.3099 | 0.1743 | 0.2522 | 89% | 0.9353 | 0.1394 | 0.0078 | 0.41 | 21.5% | 0.1700 | 0.1318 | 81.5% | 15/0.95/0.0
38 | 0.0726 | 0.3152 | 0.1810 | 0.2887 | 89% | 0.9356 | 0.1407 | 0.0076 | 0.42 | 18.7% | 0.1696 | 0.1334 | 81.3% | 0/0.995/0.0
39 | 0.0711 | 0.3191 | 0.1735 | 0.3006 | 95% | 0.9359 | 0.1393 | 0.0072 | 0.20 | 15.9% | 0.1662 | 0.1320 | 81.8% | 0/0.0/4.0
40 | 0.0695 | 0.3201 | 0.1748 | 0.2921 | 95% | 0.9357 | 0.1302 | 0.0068 | 0.28 | 17.3% | 0.1573 | 0.1230 | 83.2% | 0/0.999/0.0
41 | 0.0691 | 0.3183 | 0.1726 | 0.2884 | 95% | 0.9354 | 0.1257 | 0.0067 | 0.33 | 19.2% | 0.1550 | 0.1187 | 83.3% | 0/0.995/0.0
42 | 0.0681 | 0.3162 | 0.1699 | 0.2865 | 95% | 0.9350 | 0.1247 | 0.0071 | 0.27 | 18.7% | 0.1568 | 0.1173 | 83.3% | 0/0.9993/0.0
