Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
32 | 0.2258 | 0.4452 | 0.3899 | 0.3435 | 68% | 0.9247 | 0.4242 | 0.0396 | 0.46 | 44.9% | 0.4459 | 0.4368 | 45.8% | 0/0.995/3.0
33 | 0.2215 | 0.4414 | 0.3607 | 0.3437 | 79% | 0.9255 | 0.4247 | 0.0387 | 0.25 | 40.2% | 0.4434 | 0.4372 | 45.8% | 0/0.998/2.5
34 | 0.2195 | 0.4450 | 0.3773 | 0.3488 | 74% | 0.9272 | 0.4279 | 0.0372 | 0.38 | 43.5% | 0.4507 | 0.4380 | 45.1% | 0/0.998/3.0
35 | 0.2174 | 0.4444 | 0.3401 | 0.3640 | 89% | 0.9280 | 0.4328 | 0.0367 | 0.30 | 36.9% | 0.4570 | 0.4420 | 44.7% | 35/0.9997/4.0
36 | 0.2163 | 0.4540 | 0.4007 | 0.3557 | 68% | 0.9268 | 0.4405 | 0.0385 | 0.34 | 44.4% | 0.4657 | 0.4503 | 43.6% | 35/0.998/3.0
37 | 0.2142 | 0.4674 | 0.4050 | 0.3593 | 74% | 0.9290 | 0.4438 | 0.0364 | 0.36 | 44.9% | 0.4707 | 0.4516 | 43.3% | 0/0.998/3.0
38 | 0.2122 | 0.4675 | 0.4051 | 0.3589 | 74% | 0.9289 | 0.4439 | 0.0364 | 0.36 | 44.9% | 0.4751 | 0.4501 | 43.1% | 0/0.998/3.0
39 | 0.2117 | 0.4643 | 0.4377 | 0.3631 | 58% | 0.9301 | 0.4424 | 0.0350 | 0.68 | 53.3% | 0.4685 | 0.4492 | 43.5% | 0/0.995/4.0
40 | 0.2111 | 0.4698 | 0.3835 | 0.3618 | 84% | 0.9280 | 0.4494 | 0.0379 | 0.29 | 42.5% | 0.4775 | 0.4562 | 42.6% | 0/0.998/2.5
41 | 0.2093 | 0.4708 | 0.3848 | 0.3489 | 84% | 0.9273 | 0.4521 | 0.0388 | 0.32 | 45.3% | 0.4771 | 0.4590 | 42.5% | 0/0.998/2.5
42 | 0.2076 | 0.4797 | 0.3835 | 0.3637 | 89% | 0.9282 | 0.4545 | 0.0379 | 0.24 | 43.5% | 0.4800 | 0.4611 | 42.0% | 0/0.998/2.5
43 | 0.2066 | 0.4823 | 0.4233 | 0.3803 | 74% | 0.9300 | 0.4563 | 0.0362 | 0.46 | 52.3% | 0.4865 | 0.4607 | 41.5% | 0/0.995/3.0
44 | 0.2047 | 0.4721 | 0.4108 | 0.3795 | 74% | 0.9295 | 0.4559 | 0.0367 | 0.41 | 47.2% | 0.4844 | 0.4602 | 42.0% | 0/0.998/3.0
45 | 0.2055 | 0.4591 | 0.4069 | 0.3701 | 68% | 0.9289 | 0.4576 | 0.0374 | 0.43 | 47.2% | 0.4845 | 0.4629 | 42.0% | 0/0.998/3.0
46 | 0.2039 | 0.4711 | 0.4095 | 0.3693 | 74% | 0.9289 | 0.4603 | 0.0377 | 0.32 | 46.7% | 0.4898 | 0.4645 | 41.2% | 35/0.998/3.0
47 | 0.2015 | 0.4743 | 0.4257 | 0.3750 | 68% | 0.9290 | 0.4612 | 0.0375 | 0.64 | 51.9% | 0.4888 | 0.4659 | 41.2% | 0/0.998/4.0
48 | 0.2016 | 0.4787 | 0.4067 | 0.3757 | 79% | 0.9290 | 0.4586 | 0.0374 | 0.40 | 48.6% | 0.4897 | 0.4626 | 41.4% | 0/0.998/3.0
49 | 0.2000 | 0.4810 | 0.4096 | 0.3790 | 79% | 0.9290 | 0.4567 | 0.0373 | 0.43 | 49.5% | 0.4852 | 0.4612 | 41.6% | 0/0.998/3.0
50 | 0.1990 | 0.4859 | 0.3911 | 0.3741 | 89% | 0.9273 | 0.4637 | 0.0396 | 0.28 | 46.3% | 0.4932 | 0.4694 | 40.7% | 0/0.998/2.5
51 | 0.1986 | 0.4906 | 0.4335 | 0.3739 | 74% | 0.9288 | 0.4646 | 0.0380 | 0.62 | 52.8% | 0.4942 | 0.4691 | 40.6% | 0/0.998/4.0
52 | 0.1988 | 0.4924 | 0.4113 | 0.3651 | 84% | 0.9280 | 0.4655 | 0.0390 | 0.44 | 49.5% | 0.4934 | 0.4704 | 40.5% | 0/0.998/3.0
53 | 0.1997 | 0.4840 | 0.4010 | 0.3636 | 84% | 0.9285 | 0.4657 | 0.0384 | 0.37 | 44.9% | 0.4930 | 0.4702 | 40.5% | 0/0.999/3.0
54 | 0.1978 | 0.4975 | 0.4177 | 0.3652 | 84% | 0.9285 | 0.4662 | 0.0385 | 0.44 | 49.1% | 0.4947 | 0.4702 | 40.5% | 0/0.998/3.0
55 | 0.1970 | 0.4989 | 0.4194 | 0.3765 | 84% | 0.9281 | 0.4655 | 0.0388 | 0.47 | 48.6% | 0.4927 | 0.4704 | 40.8% | 0/0.998/3.0
56 | 0.1961 | 0.4961 | 0.4160 | 0.3719 | 84% | 0.9289 | 0.4622 | 0.0378 | 0.45 | 48.1% | 0.4899 | 0.4666 | 41.0% | 0/0.998/3.0
57 | 0.1957 | 0.4961 | 0.4159 | 0.3714 | 84% | 0.9288 | 0.4604 | 0.0377 | 0.45 | 48.6% | 0.4885 | 0.4656 | 41.3% | 0/0.998/3.0
58 | 0.1964 | 0.4924 | 0.4114 | 0.3679 | 84% | 0.9275 | 0.4635 | 0.0394 | 0.48 | 49.1% | 0.4908 | 0.4693 | 41.1% | 0/0.998/3.0
59 | 0.1957 | 0.4962 | 0.4161 | 0.3683 | 84% | 0.9269 | 0.4639 | 0.0400 | 0.49 | 50.5% | 0.4919 | 0.4697 | 40.7% | 0/0.998/3.0
60 | 0.1949 | 0.4981 | 0.4184 | 0.3670 | 84% | 0.9260 | 0.4661 | 0.0411 | 0.50 | 50.9% | 0.4928 | 0.4719 | 40.3% | 0/0.998/3.0
