Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
32 | 0.2578 | 0.5126 | 0.5094 | 0.3880 | 53% | 0.9072 | 0.6104 | 0.0716 | 0.76 | 72.4% | 0.5391 | 0.7673 | 17.2% | 35/0.9997/2.0
33 | 0.2498 | 0.5134 | 0.4982 | 0.3801 | 58% | 0.9080 | 0.6086 | 0.0706 | 0.74 | 70.1% | 0.5384 | 0.7629 | 17.6% | 35/0.999/2.0
34 | 0.2483 | 0.5168 | 0.5146 | 0.3647 | 53% | 0.9091 | 0.6090 | 0.0694 | 0.69 | 70.1% | 0.5408 | 0.7590 | 17.9% | 35/0.999/2.0
35 | 0.2400 | 0.5290 | 0.5052 | 0.3654 | 63% | 0.9097 | 0.6067 | 0.0686 | 0.64 | 68.2% | 0.5391 | 0.7566 | 18.2% | 35/0.9993/2.0
36 | 0.2347 | 0.5315 | 0.5083 | 0.3622 | 63% | 0.9091 | 0.6047 | 0.0692 | 0.82 | 71.0% | 0.5356 | 0.7545 | 18.5% | 0/0.9993/2.0
37 | 0.2343 | 0.5217 | 0.5084 | 0.3754 | 58% | 0.9104 | 0.6062 | 0.0678 | 0.87 | 70.6% | 0.5415 | 0.7521 | 18.4% | 0/0.9993/2.0
38 | 0.2269 | 0.5233 | 0.5226 | 0.3897 | 53% | 0.9122 | 0.6054 | 0.0659 | 0.76 | 70.6% | 0.5389 | 0.7472 | 19.2% | 0/0.9993/2.0
39 | 0.2247 | 0.5409 | 0.5199 | 0.3933 | 63% | 0.9135 | 0.6044 | 0.0645 | 0.68 | 69.2% | 0.5401 | 0.7440 | 19.5% | 0/0.9997/2.0
40 | 0.2202 | 0.5402 | 0.5312 | 0.3920 | 58% | 0.9133 | 0.6060 | 0.0648 | 0.73 | 70.6% | 0.5417 | 0.7464 | 19.1% | 0/0.9993/2.0
41 | 0.2144 | 0.5310 | 0.5199 | 0.3889 | 58% | 0.9145 | 0.6036 | 0.0633 | 0.75 | 70.1% | 0.5408 | 0.7447 | 19.3% | 0/0.999/2.0
42 | 0.2134 | 0.5240 | 0.5357 | 0.4006 | 47% | 0.9155 | 0.6024 | 0.0622 | 0.96 | 79.0% | 0.5405 | 0.7427 | 19.4% | 0/0.9997/2.5
43 | 0.2109 | 0.5496 | 0.5306 | 0.4023 | 63% | 0.9166 | 0.6026 | 0.0609 | 0.71 | 71.0% | 0.5397 | 0.7444 | 19.3% | 0/0.9997/2.0
44 | 0.2076 | 0.5265 | 0.5387 | 0.4050 | 47% | 0.9163 | 0.6042 | 0.0614 | 1.12 | 79.9% | 0.5407 | 0.7458 | 19.3% | 15/0.999/2.5
45 | 0.2018 | 0.5316 | 0.5085 | 0.4070 | 63% | 0.9159 | 0.6057 | 0.0619 | 0.68 | 70.6% | 0.5429 | 0.7435 | 19.3% | 0/0.9997/2.0
46 | 0.2000 | 0.5415 | 0.5207 | 0.4125 | 63% | 0.9181 | 0.6077 | 0.0598 | 0.65 | 70.1% | 0.5450 | 0.7439 | 19.3% | 0/0.9997/2.0
47 | 0.1971 | 0.5404 | 0.5193 | 0.4041 | 63% | 0.9180 | 0.6098 | 0.0600 | 0.67 | 71.5% | 0.5487 | 0.7445 | 18.8% | 0/0.9997/2.0
48 | 0.1958 | 0.5439 | 0.5235 | 0.4070 | 63% | 0.9191 | 0.6068 | 0.0586 | 0.65 | 69.2% | 0.5458 | 0.7402 | 19.4% | 0/0.9997/2.0
49 | 0.1911 | 0.5443 | 0.5241 | 0.4112 | 63% | 0.9213 | 0.6056 | 0.0562 | 0.65 | 69.2% | 0.5471 | 0.7352 | 19.5% | 15/0.9997/2.0
50 | 0.1883 | 0.5344 | 0.5241 | 0.4118 | 58% | 0.9218 | 0.6002 | 0.0552 | 0.68 | 69.6% | 0.5436 | 0.7291 | 20.2% | 15/0.998/2.0
51 | 0.1859 | 0.5276 | 0.5157 | 0.4221 | 58% | 0.9229 | 0.5959 | 0.0537 | 0.63 | 68.2% | 0.5402 | 0.7226 | 20.9% | 15/0.9997/2.0
52 | 0.1842 | 0.5251 | 0.5126 | 0.4182 | 58% | 0.9225 | 0.5946 | 0.0541 | 0.59 | 67.8% | 0.5392 | 0.7218 | 21.0% | 0/0.9997/2.0
53 | 0.1816 | 0.5377 | 0.5160 | 0.4304 | 63% | 0.9230 | 0.5941 | 0.0535 | 0.59 | 67.8% | 0.5357 | 0.7232 | 21.3% | 0/0.9997/2.0
54 | 0.1829 | 0.5422 | 0.5215 | 0.4349 | 63% | 0.9245 | 0.5933 | 0.0518 | 0.59 | 67.8% | 0.5386 | 0.7198 | 21.3% | 0/0.9997/2.0
55 | 0.1816 | 0.5489 | 0.5297 | 0.4349 | 63% | 0.9252 | 0.5908 | 0.0509 | 0.54 | 67.3% | 0.5357 | 0.7161 | 21.7% | 0/0.9997/2.0
56 | 0.1789 | 0.5387 | 0.5416 | 0.4339 | 53% | 0.9249 | 0.5884 | 0.0510 | 0.81 | 75.7% | 0.5333 | 0.7127 | 22.0% | 0/0.9997/2.5
57 | 0.1777 | 0.5268 | 0.5148 | 0.4313 | 58% | 0.9233 | 0.5896 | 0.0529 | 0.60 | 65.9% | 0.5318 | 0.7160 | 21.9% | 0/0.9997/2.0
58 | 0.1766 | 0.5264 | 0.5142 | 0.4327 | 58% | 0.9237 | 0.5893 | 0.0525 | 0.61 | 65.9% | 0.5318 | 0.7152 | 22.0% | 0/0.9997/2.0
59 | 0.1766 | 0.5320 | 0.5211 | 0.4242 | 58% | 0.9234 | 0.5885 | 0.0526 | 0.59 | 65.9% | 0.5313 | 0.7133 | 22.1% | 0/0.9997/2.0
60 | 0.1756 | 0.5333 | 0.5227 | 0.4352 | 58% | 0.9239 | 0.5871 | 0.0520 | 0.57 | 65.4% | 0.5304 | 0.7119 | 22.2% | 0/0.9997/2.0
