Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
32 | 0.1818 | 0.5256 | 0.4401 | 0.4082 | 89% | 0.9275 | 0.5066 | 0.0424 | 0.43 | 48.6% | 0.5376 | 0.5259 | 32.3% | 0/0.95/1.8
33 | 0.1782 | 0.5345 | 0.4632 | 0.4203 | 84% | 0.9274 | 0.5054 | 0.0425 | 0.52 | 53.7% | 0.5284 | 0.5264 | 33.1% | 0/0.95/2.0
34 | 0.1785 | 0.5253 | 0.4397 | 0.4074 | 89% | 0.9269 | 0.5084 | 0.0432 | 0.34 | 50.5% | 0.5364 | 0.5259 | 32.6% | 35/0.97/2.0
35 | 0.1771 | 0.5183 | 0.4676 | 0.4199 | 74% | 0.9282 | 0.5104 | 0.0420 | 0.47 | 57.5% | 0.5412 | 0.5273 | 32.2% | 35/0.97/2.5
36 | 0.1745 | 0.5228 | 0.4610 | 0.4205 | 79% | 0.9280 | 0.5125 | 0.0423 | 0.46 | 53.3% | 0.5384 | 0.5312 | 32.4% | 0/0.97/2.0
37 | 0.1735 | 0.5187 | 0.4438 | 0.4256 | 84% | 0.9294 | 0.5125 | 0.0408 | 0.38 | 53.3% | 0.5403 | 0.5304 | 32.2% | 35/0.95/2.0
38 | 0.1712 | 0.5189 | 0.4562 | 0.4299 | 79% | 0.9310 | 0.5109 | 0.0390 | 0.44 | 54.7% | 0.5391 | 0.5279 | 32.4% | 0/0.97/2.0
39 | 0.1704 | 0.5105 | 0.4702 | 0.4277 | 68% | 0.9312 | 0.5116 | 0.0389 | 0.80 | 62.6% | 0.5428 | 0.5284 | 32.0% | 0/0.97/3.0
40 | 0.1681 | 0.5072 | 0.4418 | 0.4211 | 79% | 0.9308 | 0.5066 | 0.0389 | 0.44 | 53.7% | 0.5376 | 0.5240 | 32.9% | 0/0.97/2.0
41 | 0.1662 | 0.5030 | 0.4488 | 0.4325 | 74% | 0.9306 | 0.5032 | 0.0389 | 0.52 | 54.2% | 0.5319 | 0.5203 | 33.7% | 0/0.95/2.0
42 | 0.1645 | 0.5234 | 0.4618 | 0.4140 | 79% | 0.9298 | 0.5100 | 0.0402 | 0.51 | 57.0% | 0.5417 | 0.5255 | 32.6% | 15/0.95/2.0
